HomeTeam,AwayTeam,FTHG,FTAG,FTR
Wolves,Watford,2,0,H
Everton,Man City,1,3,A
Leicester,Newcastle,5,0,H
Man United,Arsenal,1,1,D
Brighton,Tottenham,3,0,H
Burnley,Everton,1,0,H
Liverpool,Leicester,2,1,H
Norwich,Aston Villa,1,5,A
Watford,Sheffield United,0,0,D
West Ham,Crystal Palace,1,2,A
Arsenal,Bournemouth,1,0,H
Man City,Wolves,0,2,A
Southampton,Chelsea,1,4,A
Newcastle,Man United,1,0,H
Everton,West Ham,2,0,H
Aston Villa,Brighton,2,1,H
Bournemouth,Norwich,0,0,D
Chelsea,Newcastle,1,0,H
Leicester,Burnley,2,1,H
Tottenham,Watford,1,1,D
Wolves,Southampton,1,1,D
Crystal Palace,Man City,0,2,A
Man United,Liverpool,1,1,D
Sheffield United,Arsenal,1,0,H
Southampton,Leicester,0,9,A
Man City,Aston Villa,3,0,H
Brighton,Everton,3,2,H
Watford,Bournemouth,0,0,D
West Ham,Sheffield United,1,1,D
Burnley,Chelsea,2,4,A
Newcastle,Wolves,1,1,D
Arsenal,Crystal Palace,2,2,D
Liverpool,Tottenham,2,1,H
Norwich,Man United,1,3,A
Bournemouth,Man United,1,0,H
Arsenal,Wolves,1,1,D
Aston Villa,Liverpool,1,2,A
Brighton,Norwich,2,0,H
Man City,Southampton,2,1,H
Sheffield United,Burnley,3,0,H
West Ham,Newcastle,2,3,A
Watford,Chelsea,1,2,A
Crystal Palace,Leicester,0,2,A
Everton,Tottenham,1,1,D
Norwich,Watford,0,2,A
Chelsea,Crystal Palace,2,0,H
Burnley,West Ham,3,0,H
Newcastle,Bournemouth,2,1,H
Southampton,Everton,1,2,A
Tottenham,Sheffield United,1,1,D
Leicester,Arsenal,2,0,H
Man United,Brighton,3,1,H
Wolves,Aston Villa,2,1,H
Liverpool,Man City,3,1,H
West Ham,Tottenham,2,3,A
Arsenal,Southampton,2,2,D
Bournemouth,Wolves,1,2,A
Brighton,Leicester,0,2,A
Crystal Palace,Liverpool,1,2,A
Everton,Norwich,0,2,A
Watford,Burnley,0,3,A
Man City,Chelsea,2,1,H
Sheffield United,Man United,3,3,D
Aston Villa,Newcastle,2,0,H
Newcastle,Man City,2,2,D
Burnley,Crystal Palace,0,2,A
Chelsea,West Ham,0,1,A
Liverpool,Brighton,2,1,H
Tottenham,Bournemouth,3,2,H
Southampton,Watford,2,1,H
Norwich,Arsenal,2,2,D
Wolves,Sheffield United,1,1,D
Leicester,Everton,2,1,H
Man United,Aston Villa,2,2,D
Crystal Palace,Bournemouth,1,0,H
Burnley,Man City,1,4,A
Chelsea,Aston Villa,2,1,H
Leicester,Watford,2,0,H
Man United,Tottenham,2,1,H
Southampton,Norwich,2,1,H
Wolves,West Ham,2,0,H
Liverpool,Everton,5,2,H
Sheffield United,Newcastle,0,2,A
Arsenal,Brighton,1,2,A
Everton,Chelsea,3,1,H
Bournemouth,Liverpool,0,3,A
Tottenham,Burnley,5,0,H
Watford,Crystal Palace,0,0,D
Man City,Man United,1,2,A
Aston Villa,Leicester,1,4,A
Newcastle,Southampton,2,1,H
Norwich,Sheffield United,1,2,A
Brighton,Wolves,2,2,D
West Ham,Arsenal,1,3,A
Liverpool,Watford,2,0,H
Burnley,Newcastle,1,0,H
Chelsea,Bournemouth,0,1,A
Leicester,Norwich,1,1,D
Sheffield United,Aston Villa,2,0,H
Southampton,West Ham,0,1,A
Man United,Everton,1,1,D
Wolves,Tottenham,1,2,A
Arsenal,Man City,0,3,A
Crystal Palace,Brighton,1,1,D
Everton,Arsenal,0,0,D
Aston Villa,Southampton,1,3,A
Bournemouth,Burnley,0,1,A
Brighton,Sheffield United,0,1,A
Newcastle,Crystal Palace,1,0,H
Norwich,Wolves,1,2,A
Man City,Leicester,3,1,H
Watford,Man United,2,0,H
Tottenham,Chelsea,0,2,A
Tottenham,Brighton,2,1,H
Aston Villa,Norwich,1,0,H
Bournemouth,Arsenal,1,1,D
Chelsea,Southampton,0,2,A
Crystal Palace,West Ham,2,1,H
Everton,Burnley,1,0,H
Sheffield United,Watford,1,1,D
Man United,Newcastle,4,1,H
Leicester,Liverpool,0,4,A
Wolves,Man City,3,2,H
Brighton,Bournemouth,2,0,H
Newcastle,Everton,1,2,A
Southampton,Crystal Palace,1,1,D
Watford,Aston Villa,3,0,H
Norwich,Tottenham,2,2,D
West Ham,Leicester,1,2,A
Burnley,Man United,0,2,A
Arsenal,Chelsea,1,2,A
Liverpool,Wolves,1,0,H
Man City,Sheffield United,2,0,H
Brighton,Chelsea,1,1,D
Burnley,Aston Villa,1,2,A
Newcastle,Leicester,0,3,A
Southampton,Tottenham,1,0,H
Watford,Wolves,2,1,H
Man City,Everton,2,1,H
Norwich,Crystal Palace,1,1,D
West Ham,Bournemouth,4,0,H
Arsenal,Man United,2,0,H
Liverpool,Sheffield United,2,0,H
Sheffield United,West Ham,1,0,H
Crystal Palace,Arsenal,1,1,D
Chelsea,Burnley,3,0,H
Everton,Brighton,1,0,H
Leicester,Southampton,1,2,A
Man United,Norwich,4,0,H
Wolves,Newcastle,1,1,D
Tottenham,Liverpool,0,1,A
Bournemouth,Watford,0,3,A
Aston Villa,Man City,1,6,A
Watford,Tottenham,0,0,D
Arsenal,Sheffield United,1,1,D
Brighton,Aston Villa,1,1,D
Man City,Crystal Palace,2,2,D
Norwich,Bournemouth,1,0,H
Southampton,Wolves,2,3,A
West Ham,Everton,1,1,D
Newcastle,Chelsea,1,0,H
Burnley,Leicester,2,1,H
Liverpool,Man United,2,0,H
Aston Villa,Watford,2,1,H
Bournemouth,Brighton,3,1,H
Crystal Palace,Southampton,0,2,A
Everton,Newcastle,2,2,D
Sheffield United,Man City,0,1,A
Chelsea,Arsenal,2,2,D
Leicester,West Ham,4,1,H
Tottenham,Norwich,2,1,H
Man United,Burnley,0,2,A
Wolves,Liverpool,1,2,A
West Ham,Liverpool,0,2,A
Leicester,Chelsea,2,2,D
Bournemouth,Aston Villa,2,1,H
Crystal Palace,Sheffield United,0,1,A
Liverpool,Southampton,4,0,H
Newcastle,Norwich,0,0,D
Watford,Everton,2,3,A
West Ham,Brighton,3,3,D
Man United,Wolves,0,0,D
Burnley,Arsenal,0,0,D
Tottenham,Man City,2,0,H
Everton,Crystal Palace,3,1,H
Brighton,Watford,1,1,D
Sheffield United,Bournemouth,2,1,H
Wolves,Leicester,0,0,D
Southampton,Burnley,1,2,A
Norwich,Liverpool,0,1,A
Aston Villa,Tottenham,2,3,A
Arsenal,Newcastle,4,0,H
Chelsea,Man United,0,2,A
Man City,West Ham,2,0,H
Chelsea,Tottenham,2,1,H
Burnley,Bournemouth,3,0,H
Crystal Palace,Newcastle,1,0,H
Sheffield United,Brighton,1,1,D
Southampton,Aston Villa,2,0,H
Leicester,Man City,0,1,A
Man United,Watford,3,0,H
Wolves,Norwich,3,0,H
Arsenal,Everton,3,2,H
Liverpool,West Ham,3,2,H
Norwich,Leicester,1,0,H
Brighton,Crystal Palace,0,1,A
Bournemouth,Chelsea,2,2,D
Newcastle,Burnley,0,0,D
West Ham,Southampton,3,1,H
Watford,Liverpool,3,0,H
Everton,Man United,1,1,D
Tottenham,Wolves,2,3,A
Liverpool,Bournemouth,2,1,H
Arsenal,West Ham,1,0,H
Crystal Palace,Watford,1,0,H
Sheffield United,Norwich,1,0,H
Southampton,Newcastle,0,1,A
Wolves,Brighton,0,0,D
Burnley,Tottenham,1,1,D
Chelsea,Everton,4,0,H
Man United,Man City,2,0,H
Leicester,Aston Villa,4,0,H
